O,H,L,C,V,T,BV
0.00007719,0.00007719,0.00007719,0.00007719,976.96344054,2018-06-04T19:55:00,0.07541179
0.00007679,0.00007679,0.00007679,0.00007679,216.46143139,2018-06-04T19:58:00,0.01662207
0.00007679,0.00007725,0.00007679,0.00007725,1167.90668561,2018-06-04T19:59:00,0.09012411
0.00007728,0.00007728,0.00007728,0.00007728,388.55245245,2018-06-04T20:13:00,0.03002733
0.00007695,0.00007695,0.00007693,0.00007693,4309.32129412,2018-06-04T20:16:00,0.33159389
0.00007695,0.00007695,0.00007693,0.00007693,929.01658106,2018-06-04T20:19:00,0.07148738
0.0000773,0.0000773,0.00007693,0.00007693,1545.34260848,2018-06-04T20:21:00,0.11945007
0.00007693,0.00007693,0.00007691,0.00007691,8107.18663063,2018-06-04T20:22:00,0.62353363
0.00007695,0.00007695,0.00007695,0.00007695,162.38937037,2018-06-04T20:33:00,0.01249586
0.00007695,0.00007695,0.00007695,0.00007695,51.91148148,2018-06-04T20:34:00,0.00399458
0.00007695,0.00007695,0.00007689,0.00007689,8361.81466119,2018-06-04T20:37:00,0.64295153
0.00007689,0.00007689,0.00007689,0.00007689,30.00697837,2018-06-04T20:40:00,0.00230723
0.00007689,0.00007689,0.00007689,0.00007689,750,2018-06-04T20:44:00,0.0576675
0.00007694,0.00007694,0.00007694,0.00007694,19.91558694,2018-06-04T20:52:00,0.0015323
0.00007694,0.00007695,0.00007694,0.00007695,650.22775497,2018-06-04T20:55:00,0.05003499
0.00007731,0.00007731,0.00007731,0.00007731,50,2018-06-04T21:01:00,0.0038655
0.00007731,0.00007733,0.00007731,0.00007733,759.68648034,2018-06-04T21:16:00,0.05874324
0.00007733,0.00007733,0.00007733,0.00007733,132.63799781,2018-06-04T21:23:00,0.01025689
0.00007765,0.00007785,0.00007765,0.00007785,1143.26229823,2018-06-04T21:25:00,0.08897999
0.00007733,0.00007733,0.00007733,0.00007733,22.05012202,2018-06-04T21:27:00,0.00170513
0.00007766,0.00007766,0.00007766,0.00007766,14.29499675,2018-06-04T21:41:00,0.00111014
0.0000779,0.0000779,0.0000779,0.0000779,215,2018-06-04T21:48:00,0.0167485
0.0000779,0.0000779,0.0000779,0.0000779,377.83619256,2018-06-04T21:51:00,0.02943343
0.0000779,0.00007795,0.0000779,0.0000779,112.30927723,2018-06-04T21:53:00,0.00875118
0.00007795,0.00007812,0.00007795,0.00007812,254,2018-06-04T21:54:00,0.0198424
0.0000779,0.0000779,0.0000779,0.0000779,42.481702,2018-06-04T21:55:00,0.00330932
0.00007818,0.00007818,0.00007818,0.00007818,163.35035062,2018-06-04T21:58:00,0.01277073
0.0000779,0.0000779,0.0000779,0.0000779,118.24019923,2018-06-04T21:59:00,0.00921091
0.0000775,0.0000775,0.0000775,0.0000775,1222.3481341,2018-06-04T22:00:00,0.09473197
0.00007777,0.00007777,0.00007777,0.00007777,28.14727723,2018-06-04T22:11:00,0.00218901
0.00007777,0.00007777,0.00007777,0.00007777,2471.90701533,2018-06-04T22:12:00,0.19224018
0.0000775,0.0000775,0.0000775,0.0000775,20,2018-06-04T22:13:00,0.00155
0.0000775,0.0000775,0.0000775,0.0000775,28.51871806,2018-06-04T22:17:00,0.0022102
0.00007741,0.00007741,0.00007735,0.00007735,2377.35122862,2018-06-04T22:20:00,0.18391312
0.00007762,0.00007762,0.00007762,0.00007762,12.6923526,2018-06-04T22:22:00,0.00098518
0.00007737,0.00007737,0.00007735,0.00007735,572.46850003,2018-06-04T22:24:00,0.04428526
0.00007767,0.00007767,0.00007767,0.00007767,155.52407548,2018-06-04T22:25:00,0.01207955
0.00007767,0.00007767,0.00007767,0.00007767,116.39733728,2018-06-04T22:26:00,0.00904058
0.00007796,0.00007798,0.00007796,0.00007798,453.92607496,2018-06-04T22:27:00,0.03539202
0.00007798,0.00007798,0.00007798,0.00007798,51.50453995,2018-06-04T22:28:00,0.00401632
0.00007804,0.00007804,0.00007804,0.00007804,94.13363229,2018-06-04T22:30:00,0.00734618
0.00007797,0.00007802,0.00007797,0.00007802,59.31570356,2018-06-04T22:34:00,0.00462617
0.0000775,0.0000775,0.0000775,0.0000775,91,2018-06-04T22:39:00,0.0070525
0.00007792,0.00007792,0.00007792,0.00007792,78.83970351,2018-06-04T22:40:00,0.00614318
0.0000779,0.0000779,0.0000779,0.0000779,12.83697047,2018-06-04T22:44:00,0.00099999
0.0000779,0.00007805,0.0000779,0.00007805,4569.77349478,2018-06-04T22:45:00,0.35661325
0.00007804,0.00007804,0.00007738,0.00007738,466.79433457,2018-06-04T22:46:00,0.0364117
0.00007784,0.00007784,0.00007784,0.00007784,427.97453012,2018-06-04T22:55:00,0.03331353
0.0000775,0.0000775,0.0000775,0.0000775,11.74684775,2018-06-04T22:56:00,0.00091038
0.0000775,0.0000775,0.00007735,0.00007735,741.43062215,2018-06-04T22:57:00,0.05735908
0.00007785,0.00007785,0.00007785,0.00007785,24.25124287,2018-06-04T23:04:00,0.00188795
0.00007736,0.00007736,0.00007721,0.00007721,9697.19132,2018-06-04T23:06:00,0.74950806
0.00007721,0.00007721,0.00007721,0.00007721,2743.18569994,2018-06-04T23:18:00,0.21180136
0.00007748,0.00007748,0.00007748,0.00007748,11.70825034,2018-06-04T23:20:00,0.00090715
0.00007692,0.00007769,0.00007692,0.00007769,73.45220918,2018-06-04T23:21:00,0.00568844
0.00007691,0.00007691,0.00007691,0.00007691,127,2018-06-04T23:24:00,0.00976757
0.00007691,0.00007691,0.00007691,0.00007691,680.70285569,2018-06-04T23:25:00,0.05235285
0.00007689,0.00007689,0.00007689,0.00007689,191.7842299,2018-06-04T23:26:00,0.01474628
0.00007689,0.00007689,0.00007689,0.00007689,5029.89245572,2018-06-04T23:27:00,0.38674842
0.00007689,0.00007689,0.00007673,0.00007673,56.6096443,2018-06-04T23:28:00,0.00434407
0.0000769,0.0000769,0.0000769,0.0000769,20.8035366,2018-06-04T23:30:00,0.00159979
0.00007691,0.00007691,0.00007691,0.00007691,2115.29714431,2018-06-04T23:31:00,0.16268749
0.00007721,0.00007721,0.00007721,0.00007721,63.57415501,2018-06-04T23:38:00,0.00490856
0.00007702,0.00007702,0.00007702,0.00007702,109,2018-06-04T23:44:00,0.00839518
0.00007702,0.00007702,0.00007702,0.00007702,33.7466443,2018-06-04T23:48:00,0.00259916
0.00007702,0.00007702,0.00007702,0.00007702,72.75372862,2018-06-04T23:51:00,0.00560349
0.00007765,0.0000777,0.00007679,0.00007679,7123.94398732,2018-06-04T23:52:00,0.55251778
0.00007686,0.00007686,0.00007682,0.00007682,340,2018-06-04T23:56:00,0.02612143
0.00007682,0.00007682,0.00007682,0.00007682,560,2018-06-04T23:58:00,0.04301919
0.00007676,0.00007676,0.00007676,0.00007676,5227.59851284,2018-06-05T00:03:00,0.40127044
0.00007674,0.00007674,0.00007672,0.00007672,4789.97994447,2018-06-05T00:04:00,0.36756977
0.00007666,0.00007666,0.00007655,0.00007655,5074.84683555,2018-06-05T00:05:00,0.38857734
0.00007656,0.00007656,0.00007636,0.00007651,6209.4479137,2018-06-05T00:06:00,0.47505401
0.00007652,0.00007652,0.00007652,0.00007652,343.83209787,2018-06-05T00:10:00,0.02631003
0.00007673,0.00007673,0.00007673,0.00007673,200,2018-06-05T00:11:00,0.015346
0.00007679,0.00007679,0.00007679,0.00007679,300,2018-06-05T00:13:00,0.023037
0.00007721,0.00007721,0.0000772,0.0000772,103.08419351,2018-06-05T00:18:00,0.00795834
0.0000772,0.0000772,0.0000772,0.0000772,300,2018-06-05T00:19:00,0.02316
0.00007729,0.00007729,0.00007729,0.00007729,10.09709017,2018-06-05T00:21:00,0.0007804
0.00007729,0.00007738,0.00007729,0.00007738,1016.59456184,2018-06-05T00:23:00,0.07861389
0.00007738,0.00007738,0.00007738,0.00007738,12.45993313,2018-06-05T00:25:00,0.00096414
0.00007738,0.00007738,0.00007738,0.00007738,55.41701302,2018-06-05T00:27:00,0.00428816
0.0000772,0.0000772,0.0000772,0.0000772,668.05834093,2018-06-05T00:29:00,0.0515741
0.00007682,0.00007682,0.00007682,0.00007682,104.5633642,2018-06-05T00:30:00,0.00803255
0.00007677,0.00007677,0.00007676,0.00007676,1070.66189624,2018-06-05T00:31:00,0.08218553
0.00007676,0.00007676,0.00007676,0.00007676,135.29968881,2018-06-05T00:32:00,0.0103856
0.00007676,0.00007676,0.00007676,0.00007676,40.12588049,2018-06-05T00:33:00,0.00308006
0.00007679,0.00007679,0.00007679,0.00007679,25.87358461,2018-06-05T00:36:00,0.00198683
0.00007713,0.00007713,0.00007713,0.00007713,3464.36078221,2018-06-05T00:41:00,0.26720614
0.00007713,0.00007745,0.00007713,0.00007745,874.23946155,2018-06-05T00:47:00,0.06743256
0.00007709,0.00007733,0.00007709,0.00007733,185.72150188,2018-06-05T00:49:00,0.01431912
0.00007719,0.00007719,0.00007719,0.00007719,55.60189422,2018-06-05T00:51:00,0.00429191
0.0000769,0.0000769,0.0000769,0.0000769,101.1895246,2018-06-05T00:52:00,0.00778147
0.00007745,0.00007745,0.00007745,0.00007745,14.20271143,2018-06-05T00:53:00,0.0011
0.00007712,0.00007712,0.00007712,0.00007712,259.33609959,2018-06-05T01:00:00,0.02
