O,H,L,C,V,T,BV
0.00006808,0.00006808,0.00006808,0.00006808,30.84606345,2018-06-04T20:08:00,0.00209998
0.00006721,0.00006721,0.00006721,0.00006721,48.8105957,2018-06-04T20:21:00,0.00328056
0.00006808,0.00006808,0.00006808,0.00006808,13.97731943,2018-06-04T21:21:00,0.00095157
0.00006821,0.00006821,0.00006821,0.00006821,33.80122561,2018-06-04T21:22:00,0.00230558
0.00006818,0.00006822,0.00006722,0.00006722,2825.19336967,2018-06-04T22:07:00,0.19204085
0.00006821,0.00006821,0.00006821,0.00006821,70,2018-06-04T22:12:00,0.0047747
0.00006726,0.00006726,0.00006726,0.00006726,218.75204981,2018-06-04T22:18:00,0.01471326
0.00006818,0.00006818,0.00006818,0.00006818,12.536635,2018-06-04T22:21:00,0.00085474
0.00006726,0.00006726,0.00006726,0.00006726,104.33392804,2018-06-04T22:34:00,0.00701749
0.00006727,0.00006727,0.00006722,0.00006722,1261.48916685,2018-06-04T22:36:00,0.08483318
0.00006726,0.00006726,0.00006726,0.00006726,0.263,2018-06-04T22:54:00,0.00001768
0.00006811,0.0000703,0.00006726,0.00006726,1793.64864864,2018-06-04T22:56:00,0.1229959
0.00006871,0.00006871,0.00006871,0.00006871,29.39768885,2018-06-04T23:11:00,0.00201991
0.00006871,0.00006957,0.00006871,0.00006956,115.81368603,2018-06-04T23:12:00,0.00804791
0.00006799,0.00006957,0.00006798,0.00006957,199.08618886,2018-06-04T23:14:00,0.01359814
0.00006802,0.00006803,0.00006747,0.00006747,708,2018-06-04T23:15:00,0.04816339
0.00006748,0.00006748,0.00006748,0.00006748,31.4660245,2018-06-04T23:21:00,0.00212332
0.00006725,0.00006725,0.00006722,0.00006722,710.77286342,2018-06-04T23:23:00,0.0477811
0.00006747,0.00006747,0.00006747,0.00006747,31.4660245,2018-06-04T23:24:00,0.00212301
0.00006747,0.00006747,0.00006747,0.00006747,103.422437,2018-06-04T23:51:00,0.00697791
0.00006747,0.00006747,0.00006747,0.00006747,102,2018-06-05T00:03:00,0.00688193
0.00006747,0.00006747,0.00006747,0.00006747,0.35560178,2018-06-05T00:04:00,0.00002399
0.00006722,0.00006722,0.00006722,0.00006722,1223,2018-06-05T00:10:00,0.08221006
0.00006722,0.00006722,0.00006722,0.00006722,15.81368603,2018-06-05T00:11:00,0.00106299
0.00006747,0.00006747,0.00006747,0.00006747,148.21402104,2018-06-05T00:14:00,0.00999999
0.00006747,0.00006747,0.00006747,0.00006747,1000,2018-06-05T00:32:00,0.06747
0.00006723,0.00006723,0.00006723,0.00006723,648,2018-06-05T00:46:00,0.04356504
0.00006747,0.00006747,0.00006723,0.00006723,69.67331672,2018-06-05T00:50:00,0.0047008
0.00006723,0.00006723,0.00006723,0.00006723,759.81424297,2018-06-05T01:03:00,0.0510823
0.00006723,0.00006723,0.00006723,0.00006723,72.38499776,2018-06-05T01:04:00,0.00486644
0.00006723,0.00006723,0.00006723,0.00006723,30.53838905,2018-06-05T01:09:00,0.00205309
0.00006787,0.00006787,0.00006787,0.00006787,18.04215447,2018-06-05T01:21:00,0.00122452
0.00006722,0.00006722,0.00006722,0.00006722,180,2018-06-05T01:38:00,0.0120996
0.00006722,0.00006722,0.00006722,0.00006722,1324.19821974,2018-06-05T01:47:00,0.0890126
0.00006722,0.00006722,0.00006722,0.00006722,1494,2018-06-05T01:53:00,0.10042668
0.00006722,0.00006722,0.00006722,0.00006722,1255,2018-06-05T02:06:00,0.0843611
0.00006722,0.00006722,0.00006722,0.00006722,885,2018-06-05T02:12:00,0.05948969
0.00006722,0.00006722,0.00006719,0.00006719,1491.94418037,2018-06-05T02:14:00,0.10028388
0.00006715,0.00006715,0.00006715,0.00006715,100,2018-06-05T02:15:00,0.006715
0.000067,0.000067,0.000067,0.000067,127.932429,2018-06-05T02:18:00,0.00857147
0.00006697,0.00006697,0.00006697,0.00006697,75.135996,2018-06-05T02:19:00,0.00503185
0.0000667,0.0000667,0.0000667,0.0000667,1220.93161986,2018-06-05T02:22:00,0.08143612
0.0000667,0.0000667,0.0000667,0.0000667,997.23670626,2018-06-05T02:33:00,0.06651567
0.0000667,0.0000667,0.0000667,0.0000667,332.71719038,2018-06-05T02:51:00,0.02219223
0.00006722,0.00006722,0.00006722,0.00006722,50,2018-06-05T02:52:00,0.003361
0.0000667,0.0000667,0.000066,0.000066,3331.56358366,2018-06-05T02:53:00,0.2206469
0.000066,0.000066,0.00006591,0.00006591,4163.7954515,2018-06-05T02:54:00,0.27444093
0.00006694,0.00006695,0.00006694,0.00006695,1127.04418521,2018-06-05T02:55:00,0.07545142
0.00006695,0.00006702,0.00006695,0.00006702,149.3651979,2018-06-05T03:08:00,0.01000636
0.0000659,0.0000659,0.00006589,0.00006589,51.97968651,2018-06-05T03:21:00,0.00342504
0.00006589,0.00006589,0.00006586,0.00006586,72.38499776,2018-06-05T03:28:00,0.00476775
0.00006667,0.00006667,0.00006667,0.00006667,86.80211734,2018-06-05T03:30:00,0.00578709
0.00006667,0.00006667,0.00006586,0.00006586,9054.0537576,2018-06-05T03:31:00,0.59642879
0.000066,0.00006671,0.000066,0.00006671,4789.30352571,2018-06-05T03:35:00,0.31878443
0.00006588,0.00006588,0.00006587,0.00006587,80.17395155,2018-06-05T04:07:00,0.00528163
0.00006684,0.00006684,0.00006684,0.00006684,7.46483392,2018-06-05T04:13:00,0.00049894
0.00006592,0.00006592,0.00006587,0.00006587,1766,2018-06-05T04:14:00,0.11633642
0.00006587,0.00006587,0.00006587,0.00006587,48,2018-06-05T04:15:00,0.00316176
0.00006587,0.00006587,0.00006587,0.00006587,1142.94422432,2018-06-05T04:16:00,0.07528573
0.00006657,0.00006657,0.00006657,0.00006657,59.58402996,2018-06-05T04:21:00,0.0039665
0.0000659,0.0000659,0.0000659,0.0000659,150,2018-06-05T04:45:00,0.00988498
0.00006587,0.00006587,0.00006587,0.00006587,338.02816901,2018-06-05T05:02:00,0.02226591
0.00006587,0.00006587,0.00006587,0.00006587,1479.02494379,2018-06-05T05:03:00,0.09742336
0.00006588,0.00006588,0.00006588,0.00006588,67,2018-06-05T05:05:00,0.00441396
0.00006588,0.00006588,0.00006586,0.00006587,5049.497031,2018-06-05T05:08:00,0.33257638
0.00006586,0.00006586,0.00006586,0.00006586,539,2018-06-05T05:09:00,0.03549854
0.00006586,0.00006586,0.00006586,0.00006586,273.869002,2018-06-05T05:12:00,0.01803701
0.00006586,0.00006586,0.00006586,0.00006586,1280,2018-06-05T05:14:00,0.0843008
0.00006586,0.00006586,0.00006586,0.00006586,14778.93593973,2018-06-05T05:16:00,0.97334072
0.0000658,0.0000658,0.0000658,0.0000658,159.79726686,2018-06-05T05:21:00,0.01051465
0.00006539,0.00006539,0.00006539,0.00006539,19.39538642,2018-06-05T05:23:00,0.00126826
0.00006586,0.00006586,0.00006586,0.00006586,150,2018-06-05T05:24:00,0.009879
0.00006706,0.00006706,0.00006706,0.00006706,11001.20753538,2018-06-05T05:29:00,0.73774096
0.00006642,0.00006646,0.00006539,0.00006539,17638.85770827,2018-06-05T05:30:00,1.17190319
0.0000654,0.0000654,0.0000654,0.0000654,250,2018-06-05T05:35:00,0.01635
0.00006543,0.00006543,0.00006542,0.00006542,718.55392421,2018-06-05T05:49:00,0.04701486
0.00006638,0.00006638,0.0000654,0.00006632,231.044351,2018-06-05T05:53:00,0.01524462
0.00006616,0.00006637,0.00006616,0.00006624,337.95927,2018-06-05T06:09:00,0.02238429
