O,H,L,C,V,T,BV
0.00180915,0.00180915,0.00180915,0.00180915,5,2018-06-04T19:56:00,0.00904574
0.00180906,0.00180906,0.00179646,0.00179646,5.87014489,2018-06-04T19:58:00,0.01061512
0.00179698,0.00179698,0.00179698,0.00179698,0.36076758,2018-06-04T20:01:00,0.00064829
0.00180866,0.00180866,0.00180866,0.00180866,6,2018-06-04T20:02:00,0.01085196
0.00179646,0.00179646,0.00179646,0.00179646,0.44376555,2018-06-04T20:06:00,0.0007972
0.00179648,0.00179648,0.00179648,0.00179648,0.524,2018-06-04T20:08:00,0.00094135
0.00179646,0.00179646,0.00179646,0.00179646,0.34162352,2018-06-04T20:09:00,0.00061371
0.00180811,0.00180811,0.00180811,0.00180811,0.74532108,2018-06-04T20:10:00,0.00134762
0.001797,0.001797,0.00179645,0.00179645,50.724294,2018-06-04T20:11:00,0.09114975
0.00179645,0.00179645,0.00179645,0.00179645,0.3483552,2018-06-04T20:12:00,0.0006258
0.00180811,0.0018103,0.00180811,0.00180919,6.08194346,2018-06-04T20:14:00,0.01100571
0.00181016,0.00181016,0.00179697,0.00181013,10.87267584,2018-06-04T20:15:00,0.01967651
0.00181238,0.00181238,0.00181238,0.00181238,5.51745446,2018-06-04T20:17:00,0.00999972
0.00179648,0.00179648,0.00179648,0.00179648,0.3482102,2018-06-04T20:19:00,0.00062555
0.00179648,0.00179648,0.00179648,0.00179648,0.34477766,2018-06-04T20:22:00,0.00061938
0.00179645,0.00181422,0.001785,0.00180959,2193.38999993,2018-06-04T20:24:00,3.92494991
0.00179308,0.00179308,0.00179308,0.00179308,0.34007502,2018-06-04T20:25:00,0.00060978
0.00179573,0.00179573,0.00179573,0.00179573,0.3423627,2018-06-04T20:28:00,0.00061479
0.00180887,0.00180887,0.00180887,0.00180887,0.66752931,2018-06-04T20:29:00,0.00120747
0.00179319,0.00179319,0.00179319,0.00179319,0.34831994,2018-06-04T20:31:00,0.0006246
0.00180795,0.00180796,0.00180795,0.00180796,5.53103463,2018-06-04T20:33:00,0.00999988
0.00179411,0.00179411,0.00179411,0.00179411,0.3391718,2018-06-04T20:35:00,0.00060851
0.0017961,0.0017961,0.0017961,0.0017961,0.36701486,2018-06-04T20:38:00,0.00065919
0.0018068,0.00180681,0.0018068,0.00180681,4.10085995,2018-06-04T20:39:00,0.00740946
0.00179557,0.00180673,0.00179447,0.00180673,61.19994901,2018-06-04T20:41:00,0.110558
0.00180673,0.00180673,0.00180673,0.00180673,2.07041539,2018-06-04T20:43:00,0.00374068
0.00180673,0.00180673,0.00180673,0.00180673,39.02958461,2018-06-04T20:44:00,0.07051592
0.00180673,0.00180847,0.00180673,0.00180673,962.56669369,2018-06-04T20:45:00,1.7407302
0.00180673,0.00180673,0.00180673,0.00180673,0.36946967,2018-06-04T20:48:00,0.00066753
0.00180673,0.00180673,0.00180673,0.00180673,0.36088008,2018-06-04T20:51:00,0.00065201
0.00181121,0.00181121,0.00181121,0.00181121,0.58995433,2018-06-04T20:59:00,0.00106853
0.0018119,0.0018119,0.0018119,0.0018119,0.51019044,2018-06-04T21:05:00,0.00092441
0.00182547,0.00182549,0.00182547,0.00182549,18.54492558,2018-06-04T21:06:00,0.03385351
0.00181228,0.00181228,0.00180689,0.00180689,74.26327213,2018-06-04T21:08:00,0.13443696
0.00182566,0.00182566,0.00182566,0.00182566,8.63826324,2018-06-04T21:14:00,0.01577053
0.00182559,0.00182559,0.00182559,0.00182559,7.32665487,2018-06-04T21:16:00,0.01337546
