O,H,L,C,V,T,BV
0.0000128,0.0000128,0.0000128,0.0000128,59.5681,2018-06-04T20:08:00,0.00076247
0.0000128,0.0000128,0.0000128,0.0000128,2500,2018-06-04T20:13:00,0.032
0.00001281,0.00001281,0.00001281,0.00001281,883.6738544,2018-06-04T20:17:00,0.01131985
0.00001281,0.00001281,0.00001281,0.00001281,6116.3261456,2018-06-04T20:20:00,0.07835013
0.00001282,0.00001282,0.00001281,0.00001281,3160,2018-06-04T20:23:00,0.04048038
0.00001281,0.00001281,0.0000128,0.0000128,2352,2018-06-04T20:27:00,0.0301087
0.0000128,0.0000128,0.0000128,0.0000128,2307,2018-06-04T20:36:00,0.0295296
0.0000128,0.00001282,0.0000128,0.00001282,1080,2018-06-04T20:38:00,0.0138256
0.00001281,0.00001281,0.00001281,0.00001281,417.40582281,2018-06-04T21:11:00,0.00534696
0.00001288,0.00001289,0.00001288,0.00001289,504.86363109,2018-06-04T21:29:00,0.00650716
0.00001281,0.00001281,0.00001281,0.00001281,693.68321193,2018-06-04T21:35:00,0.00888608
0.00001281,0.00001281,0.00001281,0.00001281,995.00532631,2018-06-04T21:36:00,0.01274601
0.0000129,0.00001296,0.0000129,0.00001296,3608.43669969,2018-06-04T21:41:00,0.04667435
0.00001292,0.00001292,0.00001281,0.00001281,2867.35308824,2018-06-04T21:56:00,0.03694873
0.00001281,0.00001281,0.00001281,0.00001281,1000,2018-06-04T22:15:00,0.01281
0.00001281,0.00001281,0.00001281,0.00001281,341.77106791,2018-06-04T23:08:00,0.00437808
0.00001289,0.00001289,0.00001281,0.00001284,9656.95461501,2018-06-04T23:22:00,0.12439193
0.00001289,0.00001289,0.00001289,0.00001289,8330.95538887,2018-06-04T23:25:00,0.107386
0.00001288,0.00001288,0.00001288,0.00001288,21218.99545277,2018-06-04T23:31:00,0.27330066
0.00001288,0.00001288,0.00001284,0.00001284,206.38788885,2018-06-04T23:36:00,0.00265003
0.00001288,0.00001288,0.00001288,0.00001288,8127.29719822,2018-06-04T23:37:00,0.10467958
0.00001281,0.00001281,0.00001281,0.00001281,923,2018-06-04T23:50:00,0.01182363
0.00001281,0.00001281,0.00001281,0.00001281,117.43981209,2018-06-04T23:51:00,0.0015044
0.00001289,0.00001289,0.00001289,0.00001289,1545.2435892,2018-06-05T00:20:00,0.01991817
0.00001281,0.00001281,0.00001281,0.00001281,4381.07547148,2018-06-05T00:25:00,0.05612157
0.00001281,0.00001281,0.00001281,0.00001281,1021.21817988,2018-06-05T00:27:00,0.0130818
0.00001281,0.00001281,0.00001281,0.00001281,691.47398844,2018-06-05T00:35:00,0.00885778
0.00001281,0.00001281,0.00001281,0.00001281,1000,2018-06-05T00:49:00,0.01281
0.00001281,0.00001281,0.00001281,0.00001281,788.58027072,2018-06-05T00:56:00,0.01010171
0.00001281,0.00001281,0.00001281,0.00001281,600,2018-06-05T01:20:00,0.00768599
0.00001281,0.00001281,0.00001281,0.00001281,1000,2018-06-05T02:05:00,0.01281
0.00001282,0.00001282,0.00001281,0.00001281,1345.15718878,2018-06-05T02:13:00,0.01724048
0.0000128,0.0000128,0.0000128,0.0000128,1223.57964145,2018-06-05T02:18:00,0.01566181
0.00001278,0.00001278,0.00001278,0.00001278,27271.82669096,2018-06-05T02:21:00,0.34853393
0.00001281,0.00001281,0.00001281,0.00001281,27648.17874177,2018-06-05T02:35:00,0.35417316
0.00001276,0.00001276,0.00001276,0.00001276,4955.59156879,2018-06-05T02:36:00,0.06323333
0.00001276,0.00001276,0.00001276,0.00001276,596.24383196,2018-06-05T02:39:00,0.00760807
0.00001276,0.00001276,0.00001276,0.00001276,1137.37378631,2018-06-05T02:40:00,0.01451288
0.00001271,0.00001271,0.00001271,0.00001271,303,2018-06-05T02:49:00,0.00385113
0.0000127,0.0000127,0.00001269,0.00001269,9802.3158728,2018-06-05T02:53:00,0.12439432
0.00001269,0.00001269,0.00001269,0.00001269,3757.36377655,2018-06-05T02:54:00,0.04768094
0.00001269,0.00001269,0.00001269,0.00001269,42,2018-06-05T02:56:00,0.00053298
