O,H,L,C,V,T,BV
0.0000078,0.0000078,0.0000078,0.0000078,22703.227276,2018-06-04T19:55:00,0.17708516
0.00000781,0.00000781,0.00000781,0.00000781,1937.12105095,2018-06-04T19:57:00,0.0151289
0.00000782,0.00000782,0.00000781,0.00000781,14594.55947251,2018-06-04T20:00:00,0.1141076
0.00000781,0.00000781,0.00000781,0.00000781,4395.292947,2018-06-04T20:02:00,0.03432723
0.00000782,0.00000782,0.00000782,0.00000782,1278.77237851,2018-06-04T20:04:00,0.00999999
0.00000781,0.00000781,0.00000781,0.00000781,8380.97207221,2018-06-04T20:05:00,0.06545539
0.0000078,0.0000078,0.0000078,0.0000078,1000,2018-06-04T20:07:00,0.0078
0.0000078,0.0000078,0.0000078,0.0000078,53886.41125626,2018-06-04T20:09:00,0.42031399
0.0000078,0.0000078,0.0000078,0.0000078,35732.65950571,2018-06-04T20:10:00,0.27871474
0.00000782,0.00000782,0.00000782,0.00000782,1813.27641944,2018-06-04T20:12:00,0.01417982
0.00000782,0.00000782,0.00000782,0.00000782,3145.12005115,2018-06-04T20:13:00,0.02459483
0.00000781,0.00000782,0.00000781,0.00000782,22110.77760046,2018-06-04T20:16:00,0.17284537
0.00000779,0.00000779,0.00000778,0.00000778,6798.33078826,2018-06-04T20:18:00,0.05293856
0.00000779,0.00000779,0.00000779,0.00000779,2065.173635,2018-06-04T20:19:00,0.01608769
0.00000781,0.00000782,0.0000078,0.0000078,16464.84426834,2018-06-04T20:20:00,0.12845618
0.00000782,0.00000782,0.00000782,0.00000782,175.13650895,2018-06-04T20:21:00,0.00136956
0.00000782,0.00000782,0.00000782,0.00000782,6959.51153453,2018-06-04T20:22:00,0.05442338
0.00000782,0.00000782,0.00000782,0.00000782,7180.77242967,2018-06-04T20:24:00,0.05615363
0.00000779,0.00000782,0.00000779,0.00000782,4611.9547992,2018-06-04T20:25:00,0.03604464
0.00000779,0.00000779,0.00000779,0.00000779,25000,2018-06-04T20:27:00,0.19474999
0.00000782,0.00000782,0.00000782,0.00000782,142.51749359,2018-06-04T20:28:00,0.00111448
0.00000779,0.00000779,0.00000779,0.00000779,7248.34526631,2018-06-04T20:30:00,0.0564646
0.00000782,0.00000782,0.00000782,0.00000782,204.70689898,2018-06-04T20:32:00,0.0016008
0.00000782,0.00000782,0.00000782,0.00000782,1945.25443039,2018-06-04T20:33:00,0.01521188
0.00000782,0.00000782,0.00000778,0.00000782,112623.42259913,2018-06-04T20:36:00,0.87947694
0.00000784,0.00000784,0.00000782,0.00000782,3651.33378583,2018-06-04T20:39:00,0.02862272
0.00000784,0.00000784,0.00000784,0.00000784,8775.51020408,2018-06-04T20:40:00,0.06879999
0.00000783,0.00000783,0.00000783,0.00000783,1723.49400383,2018-06-04T20:42:00,0.01349495
0.00000782,0.00000782,0.00000778,0.00000778,37957.40107123,2018-06-04T20:43:00,0.2956755
0.00000779,0.00000783,0.00000779,0.00000783,9998.86864389,2018-06-04T20:44:00,0.07818428
0.00000783,0.00000783,0.00000783,0.00000783,613.30326801,2018-06-04T20:45:00,0.00480216
0.00000779,0.00000779,0.00000779,0.00000779,1500,2018-06-04T20:47:00,0.011685
0.00000784,0.00000784,0.00000784,0.00000784,675.062271,2018-06-04T20:48:00,0.00529248
0.00000784,0.00000784,0.00000784,0.00000784,4912.84908482,2018-06-04T20:49:00,0.03851673
0.00000781,0.00000781,0.00000781,0.00000781,4663.29821092,2018-06-04T20:51:00,0.03642035
0.00000783,0.00000784,0.00000783,0.00000784,109.7,2018-06-04T20:52:00,0.00085933
0.00000783,0.00000783,0.00000783,0.00000783,11133.04909004,2018-06-04T20:56:00,0.08717177
0.00000782,0.00000782,0.00000782,0.00000782,6488.76194496,2018-06-04T21:03:00,0.05074211
0.00000783,0.00000783,0.00000783,0.00000783,2955.09851532,2018-06-04T21:04:00,0.02313841
0.00000783,0.00000783,0.00000783,0.00000783,65,2018-06-04T21:05:00,0.00050895
0.00000783,0.00000783,0.00000783,0.00000783,2850,2018-06-04T21:07:00,0.0223155
0.00000783,0.00000783,0.00000783,0.00000783,339.56800946,2018-06-04T21:08:00,0.00265881
0.00000783,0.00000783,0.00000782,0.00000783,58827.34080766,2018-06-04T21:10:00,0.46005137
0.00000782,0.00000782,0.00000782,0.00000782,1719,2018-06-04T21:11:00,0.01344258
0.00000783,0.00000783,0.00000783,0.00000783,502.7591092,2018-06-04T21:12:00,0.0039366
0.00000783,0.00000783,0.00000783,0.00000783,992.05133142,2018-06-04T21:16:00,0.00776776
0.00000783,0.00000783,0.00000783,0.00000783,10801.5758908,2018-06-04T21:18:00,0.08457633
0.00000783,0.00000783,0.00000783,0.00000783,90947.78899554,2018-06-04T21:19:00,0.71212118
0.00000782,0.00000782,0.00000782,0.00000782,100000,2018-06-04T21:20:00,0.78199998
0.00000782,0.00000783,0.00000782,0.00000783,556.43304533,2018-06-04T21:21:00,0.00435507
0.00000783,0.00000783,0.00000783,0.00000783,18379.2948729,2018-06-04T21:23:00,0.14390987
0.00000783,0.00000785,0.00000783,0.00000785,93703.33464778,2018-06-04T21:24:00,0.73480274
0.00000786,0.00000786,0.00000786,0.00000786,605.8403005,2018-06-04T21:26:00,0.0047619
0.00000786,0.00000786,0.00000786,0.00000786,3781.50473282,2018-06-04T21:29:00,0.02972262
0.00000786,0.00000786,0.00000786,0.00000786,43390.7829771,2018-06-04T21:30:00,0.34105154
0.00000786,0.00000787,0.00000786,0.00000787,45875.50014066,2018-06-04T21:31:00,0.36077147
0.00000787,0.00000787,0.00000786,0.00000787,12313.91367999,2018-06-04T21:32:00,0.09688895
0.00000787,0.00000787,0.00000787,0.00000787,7408.16718521,2018-06-04T21:33:00,0.05830226
0.00000787,0.00000787,0.00000785,0.00000785,4826.67261392,2018-06-04T21:34:00,0.03798304
0.00000788,0.00000789,0.00000788,0.00000789,32876.60864501,2018-06-04T21:38:00,0.25908793
0.00000789,0.0000079,0.00000789,0.0000079,2978.5839136,2018-06-04T21:39:00,0.02353075
0.00000789,0.0000079,0.00000789,0.0000079,2009.51804183,2018-06-04T21:40:00,0.01586509
0.0000079,0.0000079,0.00000788,0.00000788,4650.1607924,2018-06-04T21:41:00,0.03664911
0.00000788,0.00000788,0.00000788,0.00000788,305.74006329,2018-06-04T21:42:00,0.00240922
0.00000788,0.00000788,0.00000788,0.00000788,27372.44555296,2018-06-04T21:43:00,0.21569486
0.00000786,0.00000788,0.00000786,0.00000788,2912.65985104,2018-06-04T21:44:00,0.02291887
0.00000788,0.00000789,0.00000788,0.00000789,26302.76663158,2018-06-04T21:45:00,0.20729069
0.00000789,0.00000789,0.00000788,0.00000788,23861.22163522,2018-06-04T21:46:00,0.18825019
0.00000788,0.00000788,0.00000788,0.00000788,6881.0357632,2018-06-04T21:47:00,0.05422256
0.00000788,0.0000079,0.00000788,0.0000079,4566.08150271,2018-06-04T21:48:00,0.03602028
0.0000079,0.0000079,0.00000788,0.00000788,3891.90520019,2018-06-04T21:50:00,0.03073396
0.00000788,0.00000789,0.00000788,0.00000788,2147.50024295,2018-06-04T21:51:00,0.01693229
0.00000788,0.00000788,0.00000787,0.00000788,7588,2018-06-04T21:52:00,0.05979252
0.00000788,0.00000788,0.00000787,0.00000787,4000,2018-06-04T21:53:00,0.03147999
0.00000787,0.00000787,0.00000787,0.00000787,36161.23055787,2018-06-04T21:54:00,0.28458887
0.00000787,0.00000787,0.00000786,0.00000786,21000,2018-06-04T21:56:00,0.16505999
0.00000786,0.00000786,0.00000786,0.00000786,16818.13405329,2018-06-04T21:57:00,0.13219052
0.00000786,0.00000786,0.00000786,0.00000786,1203,2018-06-04T21:59:00,0.00945558
0.00000787,0.00000787,0.00000787,0.00000787,1500,2018-06-04T22:01:00,0.011805
0.00000787,0.00000787,0.00000786,0.00000786,23122.52248003,2018-06-04T22:02:00,0.18193417
0.00000789,0.00000789,0.00000789,0.00000789,1741.77946134,2018-06-04T22:03:00,0.01374262
0.00000789,0.00000789,0.00000789,0.00000789,25480.06915537,2018-06-04T22:04:00,0.20103774
0.00000787,0.00000787,0.00000787,0.00000787,1271.93611227,2018-06-04T22:06:00,0.01001012
0.00000789,0.00000789,0.00000789,0.00000789,633.73570521,2018-06-04T22:07:00,0.00500017
0.00000787,0.00000787,0.00000787,0.00000787,8285.68241741,2018-06-04T22:09:00,0.06520832
0.00000789,0.00000789,0.00000787,0.00000787,1755.26337768,2018-06-04T22:10:00,0.01382345
0.00000787,0.00000789,0.00000787,0.00000789,63683.90805075,2018-06-04T22:12:00,0.50130914
0.00000789,0.00000789,0.00000787,0.00000789,47447.19831619,2018-06-04T22:13:00,0.3738648
0.00000787,0.00000787,0.00000787,0.00000787,26889.78800616,2018-06-04T22:14:00,0.21162263
0.00000787,0.00000787,0.00000786,0.00000786,125061.38675481,2018-06-04T22:17:00,0.98304697
0.00000786,0.00000786,0.00000786,0.00000786,4944,2018-06-04T22:18:00,0.03885984
0.00000786,0.00000786,0.00000786,0.00000786,0.42750419,2018-06-04T22:19:00,0.00000336
0.00000786,0.00000786,0.00000785,0.00000785,60514,2018-06-04T22:22:00,0.47503689
0.00000785,0.00000785,0.00000785,0.00000785,5000.65243806,2018-06-04T22:26:00,0.03925512
0.00000785,0.00000785,0.00000784,0.00000784,15120.20955061,2018-06-04T22:27:00,0.1186508
0.00000784,0.00000784,0.00000784,0.00000784,121043.92198175,2018-06-04T22:29:00,0.94898434
0.00000784,0.00000784,0.00000784,0.00000784,39441.07817073,2018-06-04T22:30:00,0.30921805
0.00000786,0.00000786,0.00000786,0.00000786,3433.10437977,2018-06-04T22:32:00,0.0269842
0.00000785,0.00000786,0.00000784,0.00000786,21354.73025654,2018-06-04T22:34:00,0.16765848
0.00000785,0.00000785,0.00000785,0.00000785,4031,2018-06-04T22:35:00,0.03164335
0.00000786,0.00000786,0.00000786,0.00000786,175.14304291,2018-06-04T22:38:00,0.00137662
0.00000788,0.0000079,0.00000788,0.0000079,25428.75738608,2018-06-04T22:45:00,0.20088246
0.0000079,0.0000079,0.0000079,0.0000079,1913.35269159,2018-06-04T22:46:00,0.01511547
0.0000079,0.0000079,0.0000079,0.0000079,971.48334068,2018-06-04T22:47:00,0.00767471
0.0000079,0.0000079,0.0000079,0.0000079,1059.42485831,2018-06-04T22:52:00,0.00836945
0.0000079,0.0000079,0.0000079,0.0000079,126.58227848,2018-06-04T22:53:00,0.00099999
0.00000787,0.00000787,0.00000787,0.00000787,17858.05626598,2018-06-04T22:55:00,0.14054289
0.00000788,0.00000788,0.00000787,0.00000787,6500.89749141,2018-06-04T22:56:00,0.05121872
0.00000788,0.00000788,0.00000788,0.00000788,1000,2018-06-04T22:58:00,0.00788
0.00000789,0.00000789,0.00000788,0.00000788,44427.19306513,2018-06-04T22:59:00,0.3500989
0.00000788,0.00000788,0.00000788,0.00000788,8971.19560717,2018-06-04T23:01:00,0.07069301
0.00000788,0.00000788,0.00000787,0.00000787,208.7887571,2018-06-04T23:03:00,0.00164411
0.00000787,0.00000787,0.00000787,0.00000787,540.1418131,2018-06-04T23:04:00,0.00425091
0.00000787,0.00000787,0.00000787,0.00000787,6622.73996269,2018-06-04T23:05:00,0.05212096
0.00000787,0.00000787,0.00000787,0.00000787,217894.41856029,2018-06-04T23:06:00,1.71482901
0.00000787,0.00000787,0.00000787,0.00000787,6223.12848223,2018-06-04T23:07:00,0.04897602
0.00000787,0.00000787,0.00000786,0.00000786,38817.41428,2018-06-04T23:09:00,0.30530765
0.00000786,0.00000786,0.00000786,0.00000786,6951.24291994,2018-06-04T23:12:00,0.05463676
0.00000786,0.00000786,0.00000785,0.00000785,79862.7591697,2018-06-04T23:13:00,0.6270237
0.00000785,0.00000786,0.00000785,0.00000786,146755.29260558,2018-06-04T23:14:00,1.1520492
0.00000785,0.00000786,0.00000785,0.00000786,13172.58555134,2018-06-04T23:15:00,0.10353122
0.00000786,0.00000786,0.00000786,0.00000786,13311.15144084,2018-06-04T23:17:00,0.10462564
0.00000786,0.00000786,0.00000786,0.00000786,593,2018-06-04T23:18:00,0.00466098
0.00000785,0.00000785,0.00000785,0.00000785,1448.83550079,2018-06-04T23:19:00,0.01137335
0.00000786,0.00000788,0.00000784,0.00000784,66189.92506607,2018-06-04T23:20:00,0.52033121
0.00000788,0.00000788,0.00000784,0.00000784,60774.40820548,2018-06-04T23:21:00,0.47647699
0.00000784,0.00000784,0.00000784,0.00000784,255.10204081,2018-06-04T23:22:00,0.00199999
0.00000784,0.00000784,0.00000784,0.00000784,19944.28246186,2018-06-04T23:23:00,0.15636317
0.00000789,0.00000789,0.00000789,0.00000789,1149.57513308,2018-06-04T23:24:00,0.00907014
0.00000789,0.00000789,0.00000785,0.00000785,3500,2018-06-04T23:25:00,0.027575
0.00000785,0.00000785,0.00000785,0.00000785,17704.00112739,2018-06-04T23:27:00,0.13897639
0.00000784,0.00000784,0.00000784,0.00000784,290.39570566,2018-06-04T23:28:00,0.0022767
0.00000784,0.00000784,0.00000784,0.00000784,27063.95665537,2018-06-04T23:30:00,0.21218141
0.00000784,0.00000784,0.00000781,0.00000781,391521.98126233,2018-06-04T23:33:00,3.06134194
0.00000781,0.00000781,0.00000781,0.00000781,2197.03589541,2018-06-04T23:34:00,0.01715882
0.0000078,0.00000781,0.0000078,0.00000781,61554.30092742,2018-06-04T23:36:00,0.48022497
0.00000781,0.00000781,0.00000781,0.00000781,5000,2018-06-04T23:37:00,0.03905
