O,H,L,C,V,T,BV
0.00016799,0.00016799,0.00016799,0.00016799,100,2018-06-04T19:53:00,0.016799
0.00016799,0.00016799,0.00016799,0.00016799,51,2018-06-04T19:57:00,0.00856749
0.00016877,0.00016877,0.00016877,0.00016877,1056,2018-06-04T20:08:00,0.17822111
0.00016799,0.00016799,0.00016799,0.00016799,133.25110096,2018-06-04T20:20:00,0.02238485
0.00016762,0.00016762,0.00016757,0.00016757,656,2018-06-04T20:27:00,0.10995842
0.00016757,0.00016757,0.00016757,0.00016757,283.35033435,2018-06-04T20:28:00,0.04748101
0.00016799,0.00016799,0.00016799,0.00016799,99.93032405,2018-06-04T20:33:00,0.01678729
0.0001687,0.0001687,0.0001687,0.0001687,5.99564314,2018-06-04T20:34:00,0.00101146
0.00016799,0.00016799,0.00016799,0.00016799,762.26272523,2018-06-04T20:36:00,0.12805251
0.00016835,0.00016835,0.00016835,0.00016835,917.23540852,2018-06-04T20:39:00,0.15441658
0.00016799,0.00016799,0.00016799,0.00016799,28,2018-06-04T20:42:00,0.00470372
0.00016799,0.00016799,0.00016799,0.00016799,1337.92203579,2018-06-04T20:43:00,0.22475752
0.00016835,0.00016835,0.00016835,0.00016835,1767.10838358,2018-06-04T20:54:00,0.29749268
0.0001687,0.0001687,0.0001687,0.0001687,295.49818431,2018-06-04T20:56:00,0.04985053
0.00016799,0.00016799,0.00016799,0.00016799,7.5,2018-06-04T20:59:00,0.00125992
0.00016877,0.00016877,0.00016877,0.00016877,740.14679741,2018-06-04T21:03:00,0.12491457
0.00016877,0.00016877,0.00016877,0.00016877,451.35766007,2018-06-04T21:04:00,0.07617562
0.00016877,0.00016877,0.00016877,0.00016877,1769.10119116,2018-06-04T21:05:00,0.2985712
0.0001689,0.0001689,0.0001689,0.0001689,590.23668639,2018-06-04T21:08:00,0.09969097
0.00016799,0.00016799,0.0001675,0.0001675,2400,2018-06-04T21:12:00,0.40214422
0.00016752,0.00016752,0.0001675,0.0001675,352.44993214,2018-06-04T21:14:00,0.05904105
0.00016858,0.00016858,0.00016858,0.00016858,80,2018-06-04T21:21:00,0.0134864
0.00016894,0.00016894,0.00016894,0.00016894,2550.59492349,2018-06-04T21:22:00,0.4308975
0.00016816,0.00016816,0.00016816,0.00016816,48.7032753,2018-06-04T21:30:00,0.00818994
0.00016894,0.00016894,0.00016829,0.00016831,738.0925356,2018-06-04T21:32:00,0.12426925
0.00016894,0.00016894,0.00016836,0.00016836,440.63071041,2018-06-04T21:35:00,0.07422364
0.00016829,0.00016829,0.00016829,0.00016829,126.55764897,2018-06-04T21:36:00,0.02129837
0.00016829,0.00016829,0.00016829,0.00016829,2123.04725087,2018-06-04T21:38:00,0.35728761
0.00016894,0.00016894,0.00016894,0.00016894,185.10733974,2018-06-04T21:40:00,0.03127203
0.00016894,0.00016894,0.00016894,0.00016894,1246.79617542,2018-06-04T21:45:00,0.21063374
0.000169,0.000169,0.000169,0.000169,59.17159763,2018-06-04T21:50:00,0.00999999
0.00016894,0.00016894,0.00016894,0.00016894,479.16938018,2018-06-04T21:52:00,0.08095087
0.00016894,0.00016894,0.00016894,0.00016894,13.0914406,2018-06-04T21:58:00,0.00221166
0.00016894,0.00016894,0.00016669,0.00016669,24774.29610484,2018-06-04T21:59:00,4.15424478
0.00016832,0.00016832,0.00016705,0.00016832,4389.9480238,2018-06-04T22:00:00,0.73351464
0.00016832,0.00016832,0.00016832,0.00016832,160.4789165,2018-06-04T22:07:00,0.02701181
0.00016821,0.00016821,0.00016821,0.00016821,1865.58321709,2018-06-04T22:11:00,0.31380975
0.00016821,0.00016821,0.00016821,0.00016821,2.97247488,2018-06-04T22:12:00,0.00049999
0.0001682,0.00016821,0.0001682,0.00016821,65.57377049,2018-06-04T22:15:00,0.01103007
0.00016798,0.00016798,0.00016798,0.00016798,32.8651844,2018-06-04T22:25:00,0.00552069
0.00016737,0.00016737,0.0001671,0.0001671,716.00315063,2018-06-04T22:26:00,0.1197176
0.00016821,0.00016821,0.00016821,0.00016821,3.03644193,2018-06-04T22:27:00,0.00051075
0.00016821,0.00016821,0.00016821,0.00016821,59.95336142,2018-06-04T22:37:00,0.01008475
0.00016821,0.00016821,0.00016821,0.00016821,175,2018-06-04T22:45:00,0.02943675
0.00016644,0.00016644,0.00016644,0.00016644,124.75731,2018-06-04T22:53:00,0.0207646
0.00016821,0.00016821,0.00016821,0.00016821,6.15863294,2018-06-04T22:55:00,0.00103594
0.00016813,0.00016813,0.00016813,0.00016813,348.96702951,2018-06-04T22:56:00,0.05867182
0.0001678,0.00016818,0.0001678,0.00016818,564.5567709,2018-06-04T23:03:00,0.09475069
0.0001678,0.0001678,0.0001678,0.0001678,0.6163969,2018-06-04T23:07:00,0.00010343
0.000167,0.000167,0.000167,0.000167,5.01419954,2018-06-04T23:31:00,0.00083737
0.00016623,0.00016623,0.00016623,0.00016623,1202.37621207,2018-06-04T23:32:00,0.19987098
0.00016537,0.00016538,0.00016537,0.00016538,2740.6285,2018-06-04T23:33:00,0.4532202
0.00016529,0.00016529,0.00016527,0.00016527,602.67540278,2018-06-04T23:34:00,0.09961539
0.00016527,0.00016527,0.00016522,0.00016522,185.10733974,2018-06-04T23:42:00,0.03058572
0.00016522,0.00016522,0.00016522,0.00016522,1363.18436448,2018-06-04T23:43:00,0.22522532
0.00016522,0.00016522,0.00016522,0.00016522,391.39311085,2018-06-04T23:44:00,0.06466596
0.00016522,0.00016522,0.00016522,0.00016522,672.53143156,2018-06-04T23:45:00,0.11111561
0.00016522,0.00016522,0.00016522,0.00016522,446,2018-06-04T23:46:00,0.07368812
0.00016522,0.00016522,0.00016522,0.00016522,3929.742,2018-06-04T23:47:00,0.64927197
0.00016522,0.00016522,0.00016522,0.00016522,672,2018-06-04T23:48:00,0.11102784
0.00016522,0.00016522,0.00016522,0.00016522,2244.92364193,2018-06-04T23:49:00,0.37090627
0.00016522,0.00016593,0.00016522,0.00016593,518.27624047,2018-06-04T23:50:00,0.08570804
0.00016593,0.00016593,0.00016593,0.00016593,22.70791938,2018-06-04T23:53:00,0.00376792
0.00016676,0.00016676,0.00016676,0.00016676,303.43827406,2018-06-04T23:59:00,0.05060136
0.00016676,0.00016676,0.00016676,0.00016676,155.86087041,2018-06-05T00:01:00,0.02599135
0.00016598,0.00016598,0.00016595,0.00016595,303.43827406,2018-06-05T00:02:00,0.05036453
0.00016593,0.00016593,0.00016593,0.00016593,237.10237912,2018-06-05T00:04:00,0.03934239
0.0001665,0.0001665,0.00016593,0.00016593,264.42692065,2018-06-05T00:13:00,0.04399999
0.000167,0.000167,0.000167,0.000167,6.22754486,2018-06-05T00:17:00,0.00103999
0.00016595,0.00016595,0.00016595,0.00016595,400,2018-06-05T00:19:00,0.06638
0.000167,0.00016715,0.000167,0.00016715,871.28409487,2018-06-05T00:20:00,0.14558651
0.00016595,0.00016698,0.00016595,0.00016698,58.33152092,2018-06-05T00:21:00,0.00969436
0.00016601,0.00016601,0.00016601,0.00016601,1006.50217718,2018-06-05T00:24:00,0.16708942
0.00016593,0.00016593,0.00016593,0.00016593,7.37960405,2018-06-05T00:25:00,0.00122449
0.00016593,0.00016593,0.00016593,0.00016593,3.73282497,2018-06-05T00:26:00,0.00061938
0.00016593,0.00016593,0.00016593,0.00016593,1.21082296,2018-06-05T00:31:00,0.00020091
0.00016668,0.00016668,0.00016668,0.00016668,13.1492499,2018-06-05T00:32:00,0.00219171
0.00016661,0.00016661,0.00016661,0.00016661,3.92078985,2018-06-05T00:34:00,0.00065324
0.00016593,0.00016593,0.00016593,0.00016593,160.31056771,2018-06-05T00:35:00,0.02660033
0.00016521,0.00016521,0.000165,0.00016505,808.13898416,2018-06-05T00:38:00,0.13337056
0.00016505,0.00016505,0.00016505,0.00016505,128.54104816,2018-06-05T00:39:00,0.02121568
